Country,Organization
Spain,VHIR - Fundació Institut de Recerca Hospital Universitari Vall d'Hebron
Spain,Universitat de València
Spain,Universidad de Murcia
Spain,Agència per a la Qualitat del Sistema Universitari de Catalunya
Spain,The Conference of Rectors of Spanish Universities
Spain,Institute of Health Carlos III
Spain,Institut Català de Nanociència i Nanotecnologia
Spain,Rey Juan Carlos University
Spain,Universitat Autònoma de Barcelona
Spain,University of Alcalá
Spain,Universidad de Jaen
Spain,Universidad de Huelva
Spain,Universidad de Sevilla
Spain,Universidad Carlos III de Madrid
Spain,Universidad de Cádiz
Spain,Universitat Politècnica de València
Spain,Universidad de Almería
Spain,"Universidad Pablo de Olavide, de Sevilla"
Spain,Universidad de Córdoba
Spain,Consejo Superior de Investigaciones Científicas (CSIC)
Spain,Universidad de Málaga
Spain,Universidade de Vigo
Spain,Universitat Oberta de Catalunya
Spain,Univesidad de Granada
Spain,Universidad Autonoma de Madrid
Spain,Universidad de Burgos
Spain,Universitat Politècnica de Catalunya - BarcelonaTech
Spain,Universitat de les Illes Balears
Spain,Agency for Scientific and University Quality of Andalusia (ACCUA)
Spain,Ramon Llull University
Spain,SOCIB - Balearic Islands Coastal Ocean Observing and Forecasting System
Spain,Institut d'Investigacions Biomèdiques August Pi i Sunyer
Spain,IdiPAZ - Fundación para la Investigación Biomédica del Hospital Universitario La Paz
Spain,Universitat de Girona
Spain,Universitat de Barcelona
Spain,Biogipuzkoa Health Research Institute
Spain,Universitat Rovira i Virgili
Spain,Sociedad Cientifica Informatica de España (SCIE)
Spain,Barcelona Institute for Global Health - ISGlobal
Sweden,Jönköping University
Sweden,Luleå University of Technology
Sweden,Blekinge Institute of Technology
Sweden,Uppsala University
Sweden,Örebro University
Sweden,Swedish University of Agricultural Sciences
Sweden,Science for Life Laboratory (SciLifeLab)
Sweden,Mälardalen University
Sweden,Karolinska Institutet
Sweden,Mid Sweden University
Sweden,Halmstad University
Sweden,Karlstad University
Sweden,Royal Institute of Technology (KTH)
Sweden,the Young Academy of Sweden
Sweden,Linnaeus University
Sweden,Kristianstad University
Sweden,Research!Sweden
Sweden,Lund University
Sweden,"Forte: Swedish Research Council for Health, Working Life and Welfare"
Sweden,Swedish Higher Education Authority
Sweden,Open Science Community Sweden
Sweden,Umeå University
Sweden,"The Association of Swedish Higher Education Institutions, SUHF"
Sweden,Swedish Research Council
Sweden,University of Gävle
Sweden,Södertörn University
Sweden,VINNOVA – Swedish Governmental Agency for Innovation Systems
Sweden,Swedish Reproducibility Network
Sweden,Malmö University
Sweden,Dalarna University
Sweden,Knowledge Foundation / KK-stiftelsen
Sweden,Linköping University
Sweden,"Formas, The Swedish Research Council for the Environment, Agricultural Science and Spatial Planning"
Sweden,Stockholm University
Switzerland,Zurich University of the Arts
Switzerland,University of Applied Sciences and Arts Northwestern Switzerland
Switzerland,"Swiss Federal Institute for Forest, Snow and Landscape Research WSL"
Switzerland,EPFL - Swiss Federal Institute of Technology in Lausanne
Switzerland,"University of Teacher Education, State of Vaud"
Switzerland,Schwyz University of Teacher Education
Switzerland,Zurich University of Teacher Education
Switzerland,University of Lausanne
Switzerland,Swiss Reproducibility Network
Switzerland,University of Geneva
Switzerland,ETH Zurich
Switzerland,University of Applied Sciences and Arts of Western Switzerland (HES-SO)
Switzerland,Swiss Academies of Arts and Sciences
Switzerland,Bern University of Applied Sciences BFH
Switzerland,Zurich University of Applied Sciences
Switzerland,University of Zurich
Switzerland,Université de Fribourg
Switzerland,Swiss National Science Foundation
Switzerland,Swissuniversities
Tanzania,The Nelson Mandela African Institution of Science and Technology
Timor-Leste,University of Dili (UNDIL)
Tunisia,University of Carthage
Tunisia,"Data Engineering and Semantics Research Unit, University of Sfax"
Turkey,Turkish Academy of Sciences
Turkey,YEDITEPE UNIVERSITY
Turkey,TOBB University of Economics and Technology
Turkey,Bilim Akademisi - Science Academy Turkey
Ukraine,National aerospace university Kharkiv aviation institute
Ukraine,Vasyl Stefanyk Precarpathian National University
Ukraine,"State Scientific Institution ""Ukrainian Institute of Scientific and Technical Expertise and Information"""
Ukraine,Institute for Digitalisation of Education of the NAES of Ukraine
Ukraine,Lesya Ukrainka Volyn National University
Ukraine,National University «Yuri Kondratyuk Poltava Polytechnic»
Ukraine,Institute of Higher Education of NAES of Ukraine
Ukraine,Institute for Open Science and Innovation
Ukraine,Kremenchuk Mykhailo Otrohradskyi National University
Ukraine,Simon Kuznets Kharkiv National University of Economics
Ukraine,"All-Ukrainian NGO ""Innovative University"""
Ukraine,National Research Foundation of Ukraine
Ukraine,NGO Growth Pole
Ukraine,Kyiv National Economic University
Ukraine,"National University ""Zaporizhzhia Polytechnic"""
Ukraine,Lutsk National Technical University
United Kingdom,The University of Manchester
United Kingdom,John Innes Centre
United Kingdom,University of Bristol
United Kingdom,Society of Spanish Researchers in the United Kingdom (SRUK/CERU)
United Kingdom,University of Suffolk
United Kingdom,Brunel University London
United Kingdom,"City, University of London"
United Kingdom,University of Hertfordshire
United Kingdom,Health Sciences University
United Kingdom,Manchester Metropolitan University
United Kingdom,Nottingham Trent University
United Kingdom,Jisc
United Kingdom,Wellcome Trust
United Kingdom,"Goldsmiths, University of London"
United Kingdom,Society of Research Software Engineering
United Kingdom,University of Warwick
United Kingdom,University of Reading
United Kingdom,University of Derby
United Kingdom,Queen Mary University of London
United Kingdom,UK Reproducibility Network
United Kingdom,Software Sustainability Institute
United Kingdom,University of Central Lancashire
United Kingdom,The Association of Research Managers and Administrators (ARMA UK)
United Kingdom,Loughborough University
United Kingdom,University of Edinburgh
United Kingdom,UK Research Integrity Office
United Kingdom,University of Strathclyde
United Kingdom,Health Data Research UK
United Kingdom,UK Research and Innovation (UKRI)
United Kingdom,Swansea University
Universities and their associations,Jönköping University
Universities and their associations,Muséum national d'Histoire naturelle
Universities and their associations,The University of Manchester
Universities and their associations,University of Political and Economic European Studies C. Stere
Universities and their associations,University of Liechtenstein
Universities and their associations,European University for Well-Being
Universities and their associations,University of Bristol
Universities and their associations,Obuda University
Universities and their associations,University of Orléans
Universities and their associations,Latvia University of Life Sciences and Technologies
Universities and their associations,European University Cyprus
Universities and their associations,University Alliance Ruhr
Universities and their associations,University of Education Heidelberg
Universities and their associations,Universidad Miguel Hernández de Elche
Universities and their associations,CY Cergy Paris Université
Universities and their associations,Politehnica University Timisoara
Universities and their associations,Vilnius Gediminas Technical University
Universities and their associations,Tomas Bata University in Zlin
Universities and their associations,University of Primorska
Universities and their associations,National University of Kyiv Mohyla Academy
Universities and their associations,University College Absalon
Universities and their associations,Vidzeme University of Applied Sciences
Universities and their associations,Jean Monnet University
Universities and their associations,Alte University
Universities and their associations,Sigmund Freud Private University
Universities and their associations,Zurich University of the Arts
Universities and their associations,University of Suffolk
Universities and their associations,Brunel University London
Universities and their associations,University of Caen Normandy
Universities and their associations,University of Pannonia
Universities and their associations,University of Pécs
Universities and their associations,Politecnico di Milano
Universities and their associations,Spiru Haret University
Universities and their associations,National aerospace university Kharkiv aviation institute
Universities and their associations,University of Algarve
Universities and their associations,The Nelson Mandela African Institution of Science and Technology
Universities and their associations,Mykolas Romeris University
Universities and their associations,Universidade Aberta
Universities and their associations,Ecole Normale Supérieure de Lyon
Universities and their associations,Portucalense University
Universities and their associations,General Jonas Žemaitis Military Academy of Lithuania
Universities and their associations,University of Applied Sciences and Arts Northwestern Switzerland
Universities and their associations,Rectors' Conference of Lithuanian University Colleges (LKDK)
Universities and their associations,RWTH Aachen University
Universities and their associations,Kozminski University
Universities and their associations,University of Carthage
Universities and their associations,Luleå University of Technology
Universities and their associations,Art Academy of Latvia
Universities and their associations,Saxion University of Applied Sciences
Universities and their associations,Roskilde University
Universities and their associations,University of Monterrey
Universities and their associations,St. Ignatius of Loyola College
Universities and their associations,Vasyl Stefanyk Precarpathian National University
Universities and their associations,Blekinge Institute of Technology
Universities and their associations,"City, University of London"
Universities and their associations,INALCO - National Institute of Oriental Languages and Civilizations
Universities and their associations,International University of Science and Technology UNICyT
Universities and their associations,Union of Teaching Workers of the Valencian Country
Universities and their associations,Avicenna - Batumi Medical University
Universities and their associations,Aland University of Applied Sciences
Universities and their associations,Medical University of Lublin
Universities and their associations,TU Dortmund University
Universities and their associations,Ilis State University
Universities and their associations,University of Hertfordshire
Universities and their associations,German U15
Universities and their associations,Kazimierz Wielki University
Universities and their associations,Diaconia University of Applied Sciences
Universities and their associations,BOKU University
Universities and their associations,University of Évora
Universities and their associations,Academy of Performing Arts in Bratislava
Universities and their associations,Ambrose Alli University
Universities and their associations,Health Sciences University
Universities and their associations,Uppsala University
Universities and their associations,University of Miskolc
Universities and their associations,Humboldt-Universität zu Berlin
Universities and their associations,University of Vic - Central University of Catalonia (UVic-UCC)
Universities and their associations,Örebro University
Universities and their associations,"""1 Decembrie 1918” University of Alba Iulia"
Universities and their associations,Universidad Internacional de Valencia - VIU
Universities and their associations,Swedish University of Agricultural Sciences
Universities and their associations,German Sport University Cologne
Universities and their associations,"National University, Costa Rica"
Universities and their associations,University of Potsdam
Universities and their associations,Universidade de Aveiro
Universities and their associations,Universidade de Lisboa
Universities and their associations,Universidad de León
Universities and their associations,Hochschule Bonn-Rhein-Sieg University of Applied Sciences
Universities and their associations,University of La Rioja
Universities and their associations,University of Applied Science Jena
Universities and their associations,EPFL - Swiss Federal Institute of Technology in Lausanne
Universities and their associations,Lusofona University
Universities and their associations,Universidad de Las Americas
Universities and their associations,Mälardalen University
Universities and their associations,"University ""G. d'Annunzio"" of Chieti-Pescara"
Universities and their associations,Lesya Ukrainka Volyn National University
Universities and their associations,Université Paris Cité
Universities and their associations,ISM University of Management and Economics
Universities and their associations,Medical University of Graz
Universities and their associations,Ruhr University Bochum
Universities and their associations,LAB University of Applied Sciences
Universities and their associations,Leibniz University Hannover
Universities and their associations,Manchester Metropolitan University
Universities and their associations,University of the Basque Country UPV/EHU
Universities and their associations,David Tvildiani Medical University
Universities and their associations,"University of Teacher Education, State of Vaud"
Universities and their associations,University of Białystok
Universities and their associations,National University «Yuri Kondratyuk Poltava Polytechnic»
Universities and their associations,Karolinska Institutet
Universities and their associations,YEDITEPE UNIVERSITY
Universities and their associations,TOBB University of Economics and Technology
Universities and their associations,Universidad Autonoma de Chile
Universities and their associations,University of Rzeszow
Universities and their associations,Nottingham Trent University
Universities and their associations,Universidad Politécnica de Cartagena
Universities and their associations,Andrássy University Budapest
Universities and their associations,West Pomeranian University of Technology in Szczecin
Universities and their associations,Sorbonne Nouvelle University
Universities and their associations,Häme University of Applied Sciences
Universities and their associations,Mid Sweden University
Universities and their associations,UCLouvain
Universities and their associations,University Paris-Est Créteil
Universities and their associations,Schwyz University of Teacher Education
Universities and their associations,Mary Immaculate College
Universities and their associations,LIUC - Università Cattaneo
Universities and their associations,Norwegian Academy of Music
Universities and their associations,University of Prishtina
Universities and their associations,"Goldsmiths, University of London"
Universities and their associations,Vilniaus kolegija/Higher Education Institution
Universities and their associations,Technical University of Denmark
Universities and their associations,VID Specialized University
Universities and their associations,University of Namur
Universities and their associations,University of Dili (UNDIL)
Universities and their associations,University for Continuing Education Krems
Universities and their associations,South-Eastern Finland University of Applied Sciences
Universities and their associations,Koblenz University of Applied Sciences
Universities and their associations,University of Applied Sciences Offenburg
Universities and their associations,University of Mons
Universities and their associations,Sciences Po
Universities and their associations,University of Warwick
Universities and their associations,Amsterdam University of Applied Sciences
Universities and their associations,Fernando Pessoa Canarias University
Universities and their associations,University of Porto
Universities and their associations,University of Genoa
Universities and their associations,Technische Universität Berlin
Universities and their associations,University of Reading
Universities and their associations,UCAM Catholic University San Antonio de Murcia
Universities and their associations,Halmstad University
Universities and their associations,Lapland University of Applied Sciences
Universities and their associations,Zurich University of Teacher Education
Universities and their associations,Sant'Anna School of Advanced Studies
Universities and their associations,University of Iceland
Universities and their associations,University of Derby
Universities and their associations,Lublin University of Technology
Universities and their associations,IT University of Copenhagen
Universities and their associations,Universidad Alfonso X el Sabio
Universities and their associations,Queen Mary University of London
Universities and their associations,Karelia University of Applied Sciences
Universities and their associations,Oulu University of Applied Sciences ltd
Universities and their associations,Catholic University of Valencia San Vicente Mártir
Universities and their associations,Humak University of Applied Sciences
Universities and their associations,EUTOPIA
Universities and their associations,University of Zaragoza
Universities and their associations,Technical University of Applied Sciences Amberg-Weiden
Universities and their associations,University of South Bohemia in České Budějovice
Universities and their associations,University of the Azores
Universities and their associations,Corvinus University of Budapest
Universities and their associations,University of Liège
Universities and their associations,Centria University of Applied Sciences
Universities and their associations,University of Costa Rica
Universities and their associations,Royal Military Academy
Universities and their associations,Budapest University of Technology and Economics
Universities and their associations,Mainz University of Applied Sciences
Universities and their associations,Tampere University of Applied Sciences
Universities and their associations,University of Cyprus
Universities and their associations,University of Andorra
Universities and their associations,Novia University of Applied Sciences
Universities and their associations,National University Of Distance Education (UNED)
Universities and their associations,Karlstad University
Universities and their associations,Palacký University Olomouc
Universities and their associations,Gdańsk University of Technology
Universities and their associations,University of Lausanne
Universities and their associations,Jamk University of Applied Sciences
Universities and their associations,Royal Institute of Technology (KTH)
Universities and their associations,University of Lleida
Universities and their associations,University of Alicante
Universities and their associations,Universidad Internacional de La Rioja
Universities and their associations,Universidad Politecnica de Madrid
Universities and their associations,San Jorge University Foundation
Universities and their associations,University of Debrecen
Universities and their associations,CEU Cardenal Herrera University
Universities and their associations,Charité - Universitaetsmedizin Berlin
Universities and their associations,Berlin University Alliance
Universities and their associations,Polytecnic University of Setúbal
Universities and their associations,Medical university - Sofia
Universities and their associations,Molde University College. Specialized University in Logistics
Universities and their associations,Adam Mickiewicz University
Universities and their associations,Linnaeus University
Universities and their associations,Complutense University of Madrid
Universities and their associations,University of Navarra
Universities and their associations,Dublin City University
Universities and their associations,European Consortium of Innovative Universities
Universities and their associations,Universität Hamburg
Universities and their associations,Trinity College Dublin
Universities and their associations,Seinäjoki University of Applied Sciences
Universities and their associations,Université libre de Bruxelles
Universities and their associations,University of Pisa
Universities and their associations,Kristianstad University
Universities and their associations,Aalborg University
Universities and their associations,Savonia University of Applied Sciences
Universities and their associations,University of Central Lancashire
Universities and their associations,The Guild of European Research-Intensive Universities
Universities and their associations,Technological University of the Shannon Midlands Midwest
Universities and their associations,University College Cork
Universities and their associations,University of Eastern Piedmont
Universities and their associations,Jaume I University of Casteló
Universities and their associations,University of Limoges
Universities and their associations,Norwegian University of Life Sciences NMBU
Universities and their associations,Università degli Studi dell’Insubria
Universities and their associations,"University ""St. Kliment Ohridski"" - Bitola"
Universities and their associations,Lovisenberg Diaconal University College
Universities and their associations,Loughborough University
Universities and their associations,University of Geneva
Universities and their associations,Aurora
Universities and their associations,Satakunta University of Applied Sciences
Universities and their associations,Ss. Cyril and Methodius University in Skopje
Universities and their associations,South East Technological University
Universities and their associations,Iscte-Instituto Universitário de Lisboa
Universities and their associations,Technical University of Cluj-Napoca
Universities and their associations,Kremenchuk Mykhailo Otrohradskyi National University
Universities and their associations,University Medical Center Groningen
Universities and their associations,ETH Zurich
Universities and their associations,Simon Kuznets Kharkiv National University of Economics
Universities and their associations,University of Tours
Universities and their associations,Ulysseus European University
Universities and their associations,Medical University of Warsaw
Universities and their associations,Vistula University
Universities and their associations,"Land Forces Academy, Sibiu, Romania"
Universities and their associations,Università degli Studi di Bergamo
Universities and their associations,Vrije Universiteit Brussel
Universities and their associations,Université de Rennes 1
Universities and their associations,Université Polytechnique Hauts-De-France
Universities and their associations,Open Universiteit
Universities and their associations,European University of Rome
Universities and their associations,Inland Norway University of Applied Sciences
Universities and their associations,Université d'Angers
Universities and their associations,University of Amsterdam
Universities and their associations,"Udice, French Research Universities"
Universities and their associations,Hanken School of Economics
Universities and their associations,UNIVERSIDAD CATÓLICA DE ÁVILA
Universities and their associations,Lund University
Universities and their associations,Université de Poitiers
Universities and their associations,European Association of Institutions in Higher Education
Universities and their associations,Maria Curie-Sklodowska University
Universities and their associations,Medical University of Lodz
Universities and their associations,Ghent University
Universities and their associations,AgroParisTech
Universities and their associations,Haaga-Helia University of Applied Sciences
Universities and their associations,University of Novo mesto
Universities and their associations,University of Applied Sciences and Arts of Western Switzerland (HES-SO)
Universities and their associations,Universidad San Pablo
Universities and their associations,Aarhus Universitet
Universities and their associations,Universidad a Distancia de Madrid (UDIMA)
Universities and their associations,University of Edinburgh
Universities and their associations,Lithuanian University' Rectors' conference
Universities and their associations,AGH University of Science and Technology
Universities and their associations,Andrzej Frycz Modrzewski Krakow University
Universities and their associations,Università degli Studi di Cassino e del Lazio Merdionale
Universities and their associations,SWPS University
Universities and their associations,University of Maribor
Universities and their associations,Università di Macerata
Universities and their associations,League of European Research Universities
Universities and their associations,Cardinal Stefan Wyszyński University in Warsaw
Universities and their associations,Scuola IMT Alti Studi Lucca
Universities and their associations,Université de Bordeaux
Universities and their associations,Università degli Studi di Ferrara
Universities and their associations,WSB University
Universities and their associations,Umeå University
Universities and their associations,Université Rennes 2
Universities and their associations,Collegium Civitas
Universities and their associations,Université de Franche-Comté
Universities and their associations,Universitat de València
Universities and their associations,Åbo Akademi University
Universities and their associations,Université de Haute Alsace
Universities and their associations,Technical University of Civil Engineering Bucharest
Universities and their associations,Poznan University of Technlogy
Universities and their associations,Université Toulouse Capitole
Universities and their associations,"MF Norwegian School of Theology, Religion and Society"
Universities and their associations,Universidad de Murcia
Universities and their associations,Erasmus University Rotterdam
Universities and their associations,Carol Davila University of Medicine and Pharmacy
Universities and their associations,France Universités
Universities and their associations,"The Association of Swedish Higher Education Institutions, SUHF"
Universities and their associations,Coimbra Group
Universities and their associations,The University of the Arts Helsinki
Universities and their associations,The Conference of Rectors of Spanish Universities
Universities and their associations,Bern University of Applied Sciences BFH
Universities and their associations,SGH Warsaw School of Ecominics
Universities and their associations,Technological University Dublin
Universities and their associations,Universitetet i Bergen
Universities and their associations,Rey Juan Carlos University
Universities and their associations,University of Opole
Universities and their associations,Lappeenranta-Lahti University of Technology LUT
Universities and their associations,IULM
Universities and their associations,Link Campus University
Universities and their associations,Università degli Studi di Palermo
Universities and their associations,Università degli studi di Modena e Reggio Emilia
Universities and their associations,Universitat Autònoma de Barcelona
Universities and their associations,NOVA University Lisbon
Universities and their associations,Oslo Metropolitan University
Universities and their associations,University of Humanistic Studies
Universities and their associations,Università degli Studi Roma Tre
Universities and their associations,Ca' Foscari University of Venice
Universities and their associations,Hungarian Rectors' Conference
Universities and their associations,University of Graz
Universities and their associations,Politechnika Krakowska im. Tadeusza Kościuszki
Universities and their associations,Politecnico di Bari
Universities and their associations,University of Ljubljana
Universities and their associations,Silesian University of Technology
Universities and their associations,Università degli Studi di Pavia
Universities and their associations,The University of Oslo
Universities and their associations,University of Alcalá
Universities and their associations,Lodz University of Technology
Universities and their associations,Università Campus Bio-Medico di Roma
Universities and their associations,University of Szczecin
Universities and their associations,Università degli Studi di Verona
Universities and their associations,University of L'Aquila
Universities and their associations,Universidad de Jaen
Universities and their associations,Universidad de Huelva
Universities and their associations,Università del Salento
Universities and their associations,Scuola Normale Superiore
Universities and their associations,Rhine-Main-Universities
Universities and their associations,Medical University of Gdańsk
Universities and their associations,Università Politecnica delle Marche
Universities and their associations,TU Darmstadt
Universities and their associations,Wroclaw Medical University
Universities and their associations,University of Copenhagen
Universities and their associations,"Országos Rabbiképzó – Zsidó Egyetem [Jewish Theological Seminary – University of Jewish Studies, Hungary]"
Universities and their associations,Academy of Physical Education in Katowice
Universities and their associations,Universidad de Sevilla
Universities and their associations,Norwegian University of Science and Technology (NTNU)
Universities and their associations,University of Foggia
Universities and their associations,Universidad Carlos III de Madrid
Universities and their associations,Rzeszów University of Technology
Universities and their associations,Universita' degli Studi di Bari Aldo Moro
Universities and their associations,Università degli Studi di Trento
Universities and their associations,University of Cagliari
Universities and their associations,University of South-Eastern Norway
Universities and their associations,Universidad de Cádiz
Universities and their associations,Universitat Politècnica de València
Universities and their associations,Università di Torino
Universities and their associations,University of Lapland
Universities and their associations,Università degli studi della Campania Luigi Vanvitelli
Universities and their associations,University of Gävle
Universities and their associations,Universidad de Almería
Universities and their associations,University of Lodz
Universities and their associations,University of Trieste
Universities and their associations,"Universidad Pablo de Olavide, de Sevilla"
Universities and their associations,University of Agder
Universities and their associations,Université Claude Bernard Lyon 1
Universities and their associations,University of Tuscia
Universities and their associations,Università degli Studi di Messina
Universities and their associations,Södertörn University
Universities and their associations,Maria Grzegorzewska University
Universities and their associations,UiT The Arctic University of Norway
Universities and their associations,Università degli Studi di Milano
Universities and their associations,Akademia Bialska Nauk Stosowanych im. Jana Pawła II
Universities and their associations,Università degli Studi di Padova
Universities and their associations,Università degli Studi di Brescia
Universities and their associations,University of Strathclyde
Universities and their associations,Polish-Japanese Academy of Information Technology
Universities and their associations,Wroclaw University of Health and Sport Sciences
Universities and their associations,Universidad de Córdoba
Universities and their associations,The John Paul II Catholic University of Lublin
Universities and their associations,University of Agriculture in Krakow
Universities and their associations,University of Camerino
Universities and their associations,Alma Mater Studiorum - Università di Bologna
Universities and their associations,Darmstadt University of Applied Sciences
Universities and their associations,Universidad de Málaga
Universities and their associations,Universidade de Vigo
Universities and their associations,National Council of Rectors
Universities and their associations,KU Leuven
Universities and their associations,University of Urbino Carlo Bo
Universities and their associations,Technische Universtität Braunschweig
Universities and their associations,University of Silesia in Katowice
Universities and their associations,Nicolaus Copernicus University in Toruń
Universities and their associations,Józef Piłsudski University of Physical Education in Warsaw
Universities and their associations,Poznań University of Economics and Business
Universities and their associations,Universities of Applied Sciences for Europe - UAS4EUROPE
Universities and their associations,Humanitas University
Universities and their associations,Universitat Oberta de Catalunya
Universities and their associations,Università degli Studi Suor Orsola Benincasa
Universities and their associations,Wroclaw University of Environmental and Life Sciences
Universities and their associations,Jan Dlugosz University in Czestochowa
Universities and their associations,Finnish Union of Docents
Universities and their associations,University of Stavanger
Universities and their associations,EUA Council for Doctoral Education
Universities and their associations,Univesidad de Granada
Universities and their associations,Norwegian School of Sport Sciences
Universities and their associations,Università di Milano-Bicocca
Universities and their associations,Universidad Autonoma de Madrid
Universities and their associations,Hochschulallianz für den Mittelstand (HAfM) e.V.
Universities and their associations,Tilburg University
Universities and their associations,Conference of Rectors of Academic Schools in Poland
Universities and their associations,Université de Lorraine
Universities and their associations,Université Paris-Saclay
Universities and their associations,Université de Lille
Universities and their associations,Malmö University
Universities and their associations,Università degli Studi di Firenze
Universities and their associations,Agora University of Oradea
Universities and their associations,Østfold University College
Universities and their associations,Dalarna University
Universities and their associations,Universidad de Burgos
Universities and their associations,Universitat Politècnica de Catalunya - BarcelonaTech
Universities and their associations,Eindhoven University of Technology TU/e
Universities and their associations,Université Bretagne Sud
Universities and their associations,Hasselt University
Universities and their associations,Radboud University
Universities and their associations,Université de Reims Champagne-Ardenne
Universities and their associations,Universitat de les Illes Balears
Universities and their associations,Young European Research Universities - YERUN
Universities and their associations,Jagiellonian University in Krakow
Universities and their associations,Eötvös Loránd University
Universities and their associations,West University of Timisoara
Universities and their associations,Vaasa University of Applied Sciences
Universities and their associations,Ramon Llull University
Universities and their associations,University of Vaasa
Universities and their associations,Moldova State University
Universities and their associations,Vilnius University
Universities and their associations,University of Oulu
Universities and their associations,University POLITEHNICA of Bucharest
Universities and their associations,Université Lumière Lyon 2
Universities and their associations,Université Sorbonne Paris Nord
Universities and their associations,TU Delft
Universities and their associations,CESAER
Universities and their associations,EPITA
Universities and their associations,Babes-Bolyai University
Universities and their associations,Lucian Blaga University of Sibiu
Universities and their associations,La Rochelle Université
Universities and their associations,University of Galway
Universities and their associations,University of Southern Denmark
Universities and their associations,Zurich University of Applied Sciences
Universities and their associations,Université Côte d'Azur
Universities and their associations,Dunarea de Jos University of Galati
Universities and their associations,European University Association
Universities and their associations,ISEP
Universities and their associations,Università per Stranieri di Siena
Universities and their associations,Aix-Marseille University
Universities and their associations,University of Warsaw
Universities and their associations,University College Dublin
Universities and their associations,University of Bucharest
Universities and their associations,Universidade Católica Portuguesa
Universities and their associations,Brno University of Technology
Universities and their associations,University of Luxembourg
Universities and their associations,Università Vita-Salute San Raffaele
Universities and their associations,University of Groningen
Universities and their associations,University of Zurich
Universities and their associations,University of Antwerp
Universities and their associations,Flemish Interuniversity Council (VLIR)
Universities and their associations,Université de Paris Nanterre
Universities and their associations,Masaryk University
Universities and their associations,Conference of Deans of French Schools of Engineering (CDEFI)
Universities and their associations,Linköping University
Universities and their associations,Université Grenoble Alpes
Universities and their associations,St. Pölten University of Applied Sciences
Universities and their associations,University of Helsinki
Universities and their associations,Leiden University
Universities and their associations,Universitat de Girona
Universities and their associations,Universitatea Alexandru Ioan Cuza Iasi
Universities and their associations,Comenius University Bratislava
Universities and their associations,Université Gustave Eiffel
Universities and their associations,Koszalin University of Technology
Universities and their associations,Université Paris1 Panthéon Sorbonne
Universities and their associations,Vytautas Magnus University
Universities and their associations,University of Limerick
Universities and their associations,Universitat de Barcelona
Universities and their associations,University of Toulouse
Universities and their associations,University of Jyväskylä
Universities and their associations,University of Chemistry and Technology Prague
Universities and their associations,University of Applied Sciences Kufstein Tirol
Universities and their associations,Université de Fribourg
Universities and their associations,Universite Clermont-Auvergne
Universities and their associations,UNICA - Network of Universities from the Capitals of Europe
Universities and their associations,Sorbonne Université
Universities and their associations,Politecnico di Torino
Universities and their associations,Metropolia University of Applied Sciences
Universities and their associations,Laurea University of Applied Sciences
Universities and their associations,Institut Polytechnique UniLaSalle
Universities and their associations,Universitat Rovira i Virgili
Universities and their associations,Université de Strasbourg
Universities and their associations,Turku University of Applied Sciences
Universities and their associations,Association of Universities of the Netherlands
Universities and their associations,University of Eastern Finland
Universities and their associations,"Data Engineering and Semantics Research Unit, University of Sfax"
Universities and their associations,TOUR4EU Tuscan Organisation of Universities in Europe
Universities and their associations,University Medical Center Utrecht
Universities and their associations,University of Gdańsk
Universities and their associations,Universidade de Coimbra
Universities and their associations,Aalto University
Universities and their associations,Stockholm University
Universities and their associations,Swansea University
Universities and their associations,Universities Norway
Universities and their associations,Grigore T. Popa University of Medicine and Pharmacy Iasi
Universities and their associations,Tampere University
Universities and their associations,Kyiv National Economic University
Universities and their associations,Swissuniversities
Universities and their associations,Wroclaw University of Economics and Business
Universities and their associations,National and Kapodistrian University of Athens (NKUA)
Universities and their associations,University of Twente
Universities and their associations,Universidade do Minho
Universities and their associations,University of Rijeka
Universities and their associations,University of Turku
Universities and their associations,Universidade de Trás-os-Montes e Alto Douro
Universities and their associations,"National University ""Zaporizhzhia Polytechnic"""
Universities and their associations,Wageningen University & Research
Universities and their associations,Vrije Universiteit Amsterdam
Universities and their associations,Lutsk National Technical University
Universities and their associations,Maastricht University
Universities and their associations,Charles University
Universities and their associations,Utrecht University
Zimbabwe,Zimbabwe Young Academy of Sciences
